Age,Workclass,fnlwgt,Education,MaritalStatus,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,hours-per-week,NativeCountry,Class
50,3,83311,13,7,14,4,5,1,0,0,13,41,0
38,5,215646,9,6,1,3,5,1,0,0,40,41,0
53,5,234721,7,7,1,4,1,1,0,0,40,41,0
28,5,338409,13,7,13,6,1,0,0,0,40,2,0
37,5,284582,14,7,14,6,5,0,0,0,40,41,0
49,5,160187,5,2,4,3,1,0,0,0,16,28,0
52,3,209642,9,7,14,4,5,1,0,0,45,41,1
31,5,45781,14,5,13,3,5,0,14084,0,50,41,1
42,5,159449,13,7,14,4,5,1,5178,0,40,41,1
37,5,280464,10,7,14,4,1,1,0,0,80,41,1
30,7,141297,13,7,13,4,3,1,0,0,40,21,1
23,5,122272,13,5,11,5,5,0,0,0,30,41,0
32,5,205019,12,5,5,3,1,1,0,0,50,41,0
40,5,121772,11,7,3,4,3,1,0,0,40,38,1
34,5,245487,4,7,2,4,4,1,0,0,45,10,0
25,3,176756,9,5,9,5,5,1,0,0,35,41,0
32,5,186824,9,5,7,1,5,1,0,0,40,41,0
38,5,28887,7,7,5,4,5,1,0,0,50,41,0
43,3,292175,14,6,14,1,5,0,0,0,45,41,1
40,5,193524,16,7,13,4,5,1,0,0,60,41,1
54,5,302146,9,4,4,1,1,0,0,0,20,41,0
35,8,76845,5,7,9,4,1,1,0,0,40,41,0
43,5,117037,7,7,2,4,5,1,0,2042,40,41,0
59,5,109015,9,6,8,1,5,0,0,0,40,41,0
56,6,216851,13,7,8,4,5,1,0,0,40,41,1
19,5,168294,9,5,3,5,5,1,0,0,40,41,0
54,5,180211,10,7,8,4,3,1,0,0,60,20,1
39,5,367260,9,6,14,3,5,1,0,0,80,41,0
49,5,193366,9,7,3,4,5,1,0,0,40,41,0
23,6,190709,12,5,10,3,5,1,0,0,52,41,0
20,5,266015,10,5,5,5,1,1,0,0,44,41,0
45,5,386940,13,6,14,5,5,1,0,1408,40,41,0
30,8,59951,10,7,11,5,5,1,0,0,40,41,0
22,7,311512,10,7,4,4,1,1,0,0,15,41,0
48,5,242406,7,5,7,1,5,1,0,0,40,16,0
