Cylinders,Displacement,HorsePower,Weight,Acceleration,ModelYear,Origin,CarName,Class
8,307,130,3504,12,70,1,49,2
8,350,130,3693,11.5,70,1,36,2
8,318,130,3436,11,70,1,231,2
8,304,130,3433,12,70,1,14,2
8,302,130,3449,10.5,70,1,161,2
8,429,130,4341,10,70,1,141,2
8,454,130,4354,9,70,1,54,2
8,440,130,4312,8.5,70,1,223,2
8,455,130,4425,10,70,1,241,2
8,390,130,3850,8.5,70,1,1,2
8,383,130,3563,10,70,1,101,2
8,340,130,3609,8,70,1,215,2
8,400,130,3761,9.5,70,1,57,2
8,455,130,3086,10,70,1,30,2
4,113,130,2372,15,70,3,274,2
6,198,130,2833,15.5,70,1,220,2
6,199,130,2774,15.5,70,1,8,2
6,200,130,2587,16,70,1,150,2
4,97,130,2130,14.5,70,3,95,3
4,97,130,1835,20.5,70,2,282,3
4,110,130,2672,17.5,70,2,211,2
4,107,130,2430,14.5,70,2,16,2
4,104,130,2375,17.5,70,2,258,2
4,121,130,2234,12.5,70,2,22,3
6,199,130,2648,15,70,1,7,2
8,360,130,4615,14,70,1,133,1
8,307,130,4376,15,70,1,68,1
8,318,130,4382,13.5,70,1,112,1
8,304,130,4732,18.5,70,1,163,1
4,97,130,2130,14.5,71,3,95,3
4,140,130,2264,15.5,71,1,65,3
4,113,130,2228,14,71,3,271,2
4,98,130,2046,19,71,1,156,2
6,232,130,2634,13,71,1,7,2
6,225,130,3439,15.5,71,1,232,2
6,250,130,3329,15.5,71,1,49,2
6,250,130,3302,15.5,71,1,162,2
6,232,130,3288,15.5,71,1,10,2
8,350,130,4209,12,71,1,54,2
8,400,130,4464,11.5,71,1,242,2
8,351,130,4154,13.5,71,1,141,2
8,318,130,4096,13,71,1,223,2
8,383,130,4955,11.5,71,1,116,1
8,400,130,4746,12,71,1,129,2
8,400,130,5140,12,71,1,250,2
6,258,130,2962,13.5,71,1,9,2
4,140,130,2408,19,71,1,64,2
6,250,130,3282,15,71,1,243,2
6,250,130,3139,14.5,71,1,151,2
4,122,130,2220,14,71,1,187,2
4,116,130,2123,14,71,2,208,3
4,79,130,2074,19.5,71,2,210,3
