SymbolingRisk,Normalized-losses,Company,Fuel-type,Aspiration,NumDoors,BodyStyle,DriveWheels,EngineLoc,WheelBase,Length,Width,Height,CurbWeight,EngineType,NumCylinders,EngineSize,Fuel-sys,Bore,Stroke,CompRatio,HorsePow,Peak-rpm,City-mpg,High-mpg,Class
1,122,1,2,1,2,5,3,1,88.6,168.8,64.1,48.8,2548,1,4,130,6,3.47,2.68,9,111,5000,21,27,2
3,122,1,2,1,2,4,3,1,94.5,171.2,65.5,52.4,2823,6,6,152,6,2.68,3.47,9,154,5000,19,26,2
2,164,2,2,1,4,3,2,1,99.8,176.6,66.2,54.3,2337,4,4,109,6,3.19,3.4,10,102,5500,24,30,2
2,164,2,2,1,4,3,1,1,99.4,176.6,66.4,54.3,2824,4,5,136,6,3.19,3.4,8,115,5500,18,22,2
2,122,2,2,1,2,3,2,1,99.8,177.3,66.3,53.1,2507,4,5,136,6,3.19,3.4,8.5,110,5500,19,25,2
3,158,2,2,1,4,3,2,1,105.8,192.7,71.4,55.7,2844,4,5,136,6,3.19,3.4,8.5,110,5500,19,25,2
3,122,2,2,1,4,2,2,1,105.8,192.7,71.4,55.7,2954,4,5,136,6,3.19,3.4,8.5,110,5500,19,25,2
3,158,2,2,2,4,3,2,1,105.8,192.7,71.4,55.9,3086,4,5,131,6,3.13,3.4,8.3,140,5500,17,20,2
4,122,2,2,2,2,4,1,1,99.5,178.2,67.9,52,3053,4,5,131,6,3.13,3.4,7,160,5500,16,22,1
2,192,3,2,1,2,3,3,1,101.2,176.8,64.8,54.3,2395,4,4,108,6,3.5,2.8,8.8,101,5800,23,29,2
4,192,3,2,1,4,3,3,1,101.2,176.8,64.8,54.3,2395,4,4,108,6,3.5,2.8,8.8,101,5800,23,29,2
4,188,3,2,1,2,3,3,1,101.2,176.8,64.8,54.3,2710,4,6,164,6,3.31,3.19,9,121,4250,21,28,2
4,188,3,2,1,4,3,3,1,101.2,176.8,64.8,54.3,2765,4,6,164,6,3.31,3.19,9,121,4250,21,28,2
3,122,3,2,1,4,3,3,1,103.5,189,66.9,55.7,3055,4,6,164,6,3.31,3.19,9,121,4250,20,25,2
4,122,3,2,1,4,3,3,1,103.5,189,66.9,55.7,3230,4,6,209,6,3.62,3.39,8,182,5400,16,22,3
4,122,3,2,1,2,3,3,1,103.5,193.8,67.9,53.7,3380,4,6,209,6,3.62,3.39,8,182,5400,16,22,4
4,122,3,2,1,4,3,3,1,110,197,70.9,56.3,3505,4,6,209,6,3.62,3.39,8,182,5400,15,20,3
2,121,4,2,1,2,4,2,1,88.4,141.1,60.3,53.2,1488,3,3,61,2,2.91,3.03,9.5,48,5100,47,53,1
3,98,4,2,1,2,4,2,1,94.5,155.9,63.6,52,1874,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
4,81,4,2,1,4,3,2,1,94.5,158.8,63.6,52,1909,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
3,118,5,2,1,2,4,2,1,93.7,157.3,63.8,50.8,1876,4,4,90,2,2.97,3.23,9.41,68,5500,37,41,1
3,118,5,2,1,2,4,2,1,93.7,157.3,63.8,50.8,1876,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,118,5,2,2,2,4,2,1,93.7,157.3,63.8,50.8,2128,4,4,98,6,3.03,3.39,7.6,102,5500,24,30,1
3,148,5,2,1,4,4,2,1,93.7,157.3,63.8,50.6,1967,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,148,5,2,1,4,3,2,1,93.7,157.3,63.8,50.6,1989,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,148,5,2,1,4,3,2,1,93.7,157.3,63.8,50.6,1989,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,148,5,2,2,4,3,2,1,93.7,157.3,63.8,50.6,2191,4,4,98,6,3.03,3.39,7.6,102,5500,24,30,1
5,110,5,2,1,4,2,2,1,103.3,174.6,64.6,59.8,2535,4,4,122,2,3.34,3.46,8.5,88,5000,24,30,1
1,145,5,2,2,2,4,2,1,95.9,173.2,66.3,50.2,2811,4,4,156,5,3.6,3.9,7,145,5000,19,24,1
2,137,6,2,1,2,4,2,1,86.6,144.6,63.9,50.8,1713,4,4,92,1,2.91,3.41,9.6,58,4800,49,54,1
2,137,6,2,1,2,4,2,1,86.6,144.6,63.9,50.8,1819,4,4,92,1,2.91,3.41,9.2,76,6000,31,38,1
3,101,6,2,1,2,4,2,1,93.7,150,64,52.6,1837,4,4,79,1,2.91,3.07,10.1,60,5500,38,42,1
3,101,6,2,1,2,4,2,1,93.7,150,64,52.6,1940,4,4,92,1,2.91,3.41,9.2,76,6000,30,34,1
3,101,6,2,1,2,4,2,1,93.7,150,64,52.6,1956,4,4,92,1,2.91,3.41,9.2,76,6000,30,34,1
4,110,6,2,1,4,3,2,1,96.5,163.4,64,54.5,2010,4,4,92,1,2.91,3.41,9.2,76,6000,30,34,1
4,78,6,2,1,4,2,2,1,96.5,157.1,63.9,58.3,2024,4,4,92,1,2.92,3.41,9.2,76,6000,30,34,1
4,106,6,2,1,2,4,2,1,96.5,167.5,65.2,53.3,2236,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,106,6,2,1,2,4,2,1,96.5,167.5,65.2,53.3,2289,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,85,6,2,1,4,3,2,1,96.5,175.4,65.2,54.1,2304,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,85,6,2,1,4,3,2,1,96.5,175.4,62.5,54.1,2372,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,85,6,2,1,4,3,2,1,96.5,175.4,65.2,54.1,2465,4,4,110,6,3.15,3.58,9,101,5800,24,28,1
3,107,6,2,1,2,3,2,1,96.5,169.1,66,51,2293,4,4,110,2,3.15,3.58,9.1,100,5500,25,31,1
4,122,7,2,1,4,3,3,1,94.3,170.7,61.8,53.5,2337,4,4,111,2,3.31,3.23,8.5,78,4800,24,29,1
3,122,7,2,1,2,3,2,1,94.5,155.9,63.6,52,1874,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
4,122,7,2,1,4,3,2,1,94.5,155.9,63.6,52,1909,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
2,122,7,2,1,2,4,3,1,96,172.6,65.2,51.4,2734,4,4,119,8,3.43,3.23,9.2,90,5000,24,29,1
4,145,8,2,1,4,3,3,1,113,199.6,69.6,52.8,4066,1,6,258,6,3.63,4.17,8.1,176,4750,15,19,3
4,122,8,2,1,4,3,3,1,113,199.6,69.6,52.8,4066,1,6,258,6,3.63,4.17,8.1,176,4750,15,19,3
4,122,8,2,1,2,3,3,1,102,191.7,70.6,47.8,3950,6,12,326,6,3.54,2.76,11.5,262,5000,13,17,3
